nitrogen,phosphorus,potassium,rainfall,temperature,soil,season,irrigation,label
21,66,17,128,30,loamy,kharif,yes,maize
80,82,24,275,18,clay,rabi,no,rice
93,65,33,276,18,sandy,kharif,no,maize
25,15,55,223,19,loamy,zaid,yes,cotton
94,47,61,171,22,loamy,rabi,no,sugarcane
32,52,11,190,34,clay,kharif,no,cotton
23,70,48,101,32,sandy,zaid,yes,sugarcane
38,16,70,54,31,clay,kharif,no,maize
73,53,55,230,34,clay,kharif,yes,maize
69,75,33,108,35,loamy,zaid,no,cotton
64,20,12,270,39,loamy,rabi,no,sugarcane
68,26,36,190,19,loamy,rabi,no,cotton
28,64,45,145,19,loamy,rabi,no,maize
55,28,63,198,31,clay,rabi,yes,sugarcane
10,50,95,163,15,clay,kharif,yes,cotton
48,32,51,53,23,clay,zaid,no,maize
22,11,69,181,23,clay,rabi,yes,cotton
93,30,58,206,27,loamy,rabi,no,rice
64,37,29,85,16,loamy,rabi,yes,sugarcane
92,10,67,241,28,clay,zaid,no,cotton
10,95,45,149,38,clay,rabi,no,cotton
25,46,75,208,18,sandy,zaid,yes,cotton
68,98,87,262,38,sandy,zaid,yes,wheat
86,46,48,117,33,loamy,kharif,yes,maize
94,52,59,50,31,clay,rabi,no,sugarcane
64,71,80,242,32,clay,kharif,yes,rice
58,96,11,213,29,loamy,kharif,yes,wheat
16,48,49,195,24,clay,kharif,yes,sugarcane
37,76,38,135,30,clay,kharif,yes,cotton
64,94,80,224,23,sandy,kharif,yes,wheat
34,36,47,291,27,loamy,zaid,no,maize
55,85,41,134,39,clay,zaid,yes,maize
30,30,66,74,37,loamy,zaid,no,wheat
85,14,80,128,23,sandy,zaid,yes,maize
69,64,11,81,16,sandy,zaid,no,rice
63,46,89,153,32,sandy,rabi,yes,cotton
73,17,82,284,32,sandy,kharif,yes,wheat
98,36,31,184,26,loamy,zaid,yes,sugarcane
92,83,45,160,29,clay,kharif,no,cotton
87,21,47,235,37,sandy,kharif,yes,rice
30,90,34,153,25,sandy,kharif,yes,sugarcane
59,86,11,227,32,loamy,kharif,yes,wheat
56,15,14,170,20,loamy,zaid,no,maize
80,59,59,241,26,sandy,zaid,yes,rice
64,29,38,135,21,loamy,zaid,yes,sugarcane
89,31,91,292,40,loamy,rabi,no,rice
65,85,62,153,18,sandy,zaid,no,sugarcane
87,20,33,293,25,clay,kharif,yes,cotton
81,22,10,145,20,clay,kharif,no,sugarcane
67,64,14,246,27,sandy,rabi,no,maize
58,29,71,150,19,loamy,rabi,no,rice
50,17,55,265,40,clay,rabi,yes,rice
60,79,89,55,36,sandy,zaid,yes,maize
31,26,64,176,22,clay,rabi,no,sugarcane
44,73,45,71,21,clay,rabi,no,maize
16,91,67,188,28,clay,kharif,no,maize
34,87,98,154,15,loamy,kharif,no,cotton
79,26,36,206,15,sandy,zaid,yes,sugarcane
69,68,84,50,27,clay,zaid,no,wheat
41,51,74,255,31,clay,zaid,yes,rice
20,46,53,187,26,loamy,kharif,no,cotton
33,89,33,212,17,sandy,rabi,yes,sugarcane
68,99,27,281,35,loamy,kharif,yes,sugarcane
72,49,95,242,18,sandy,rabi,yes,rice
43,94,44,222,16,sandy,zaid,no,wheat
33,19,80,142,33,clay,zaid,no,rice
20,35,87,214,30,sandy,rabi,no,cotton
72,95,38,110,28,sandy,kharif,no,wheat
49,69,30,58,19,sandy,zaid,yes,cotton
49,58,56,276,36,clay,rabi,yes,maize
87,34,59,181,15,clay,zaid,no,maize
27,10,23,69,35,loamy,kharif,yes,cotton
58,91,60,288,20,clay,zaid,yes,rice
42,80,54,212,25,clay,zaid,yes,cotton
66,80,29,169,32,loamy,rabi,no,cotton
83,31,84,169,28,sandy,zaid,no,cotton
79,17,10,270,17,sandy,kharif,yes,cotton
63,98,57,114,23,loamy,kharif,yes,cotton
85,45,17,124,39,clay,zaid,yes,wheat
76,31,94,277,35,clay,rabi,yes,wheat
87,75,45,154,27,loamy,kharif,no,cotton
34,94,92,200,27,clay,rabi,no,maize
38,66,18,144,34,clay,kharif,yes,maize
16,27,69,56,26,loamy,rabi,no,sugarcane
68,39,12,161,30,loamy,rabi,no,sugarcane
87,99,28,205,26,loamy,zaid,no,rice
57,37,56,218,29,sandy,kharif,yes,sugarcane
88,93,41,252,18,sandy,kharif,no,maize
58,75,52,224,40,sandy,kharif,no,cotton
50,25,99,154,32,loamy,kharif,yes,rice
15,39,87,282,33,sandy,zaid,no,sugarcane
63,24,23,161,40,loamy,zaid,no,sugarcane
66,22,100,288,27,loamy,zaid,no,sugarcane
91,86,61,89,33,clay,rabi,no,sugarcane
53,71,69,199,23,clay,kharif,yes,maize
13,44,68,195,36,loamy,zaid,yes,rice
19,38,59,144,18,loamy,kharif,no,maize
25,60,59,111,24,clay,rabi,yes,rice
68,88,35,166,25,clay,rabi,yes,sugarcane
74,13,89,165,34,sandy,kharif,no,wheat
55,39,74,219,38,clay,kharif,yes,maize
50,30,75,138,29,loamy,kharif,yes,rice
15,87,36,286,19,sandy,zaid,no,wheat
97,97,36,83,36,clay,kharif,no,maize
96,65,43,214,31,sandy,kharif,yes,sugarcane
65,80,59,55,32,clay,rabi,yes,sugarcane
16,55,72,281,19,sandy,rabi,yes,rice
46,46,53,80,27,clay,kharif,yes,wheat
68,68,78,197,37,loamy,rabi,yes,rice
41,47,18,243,29,clay,zaid,no,sugarcane
55,100,60,159,33,sandy,kharif,no,maize
93,74,27,206,33,loamy,kharif,yes,cotton
38,86,99,118,29,sandy,zaid,no,wheat
49,97,74,255,35,sandy,zaid,yes,sugarcane
68,98,11,253,38,clay,kharif,yes,wheat
43,38,29,198,28,sandy,zaid,no,rice
77,96,88,186,34,loamy,kharif,yes,sugarcane
29,91,52,168,33,clay,rabi,yes,maize
83,21,76,285,27,sandy,zaid,yes,rice
40,19,38,102,33,sandy,rabi,no,sugarcane
32,95,70,187,39,loamy,rabi,no,wheat
71,64,83,115,33,loamy,rabi,yes,rice
79,83,58,294,38,loamy,kharif,yes,rice
12,80,76,188,26,loamy,kharif,yes,cotton
43,19,42,59,19,clay,kharif,no,rice
16,54,86,242,22,loamy,zaid,no,sugarcane
45,72,80,253,28,loamy,zaid,yes,cotton
82,91,70,202,25,sandy,kharif,no,maize
38,85,77,97,24,sandy,rabi,yes,maize
61,41,76,187,37,loamy,kharif,no,sugarcane
48,98,79,256,24,sandy,rabi,yes,wheat
76,64,73,224,17,clay,rabi,yes,maize
58,79,64,204,24,loamy,rabi,no,sugarcane
14,31,96,157,17,loamy,zaid,yes,cotton
93,65,52,71,22,clay,zaid,yes,maize
91,40,47,112,30,loamy,rabi,no,cotton
72,85,83,100,38,sandy,kharif,yes,wheat
90,54,75,120,29,sandy,zaid,no,rice
79,94,39,164,33,loamy,zaid,yes,cotton
37,24,100,297,40,sandy,kharif,yes,cotton
61,56,67,285,18,sandy,kharif,no,cotton
58,45,88,235,39,sandy,rabi,yes,wheat
45,31,43,263,26,loamy,kharif,yes,rice
73,75,26,167,20,sandy,rabi,yes,sugarcane
48,36,59,282,22,loamy,zaid,no,rice
35,97,53,98,29,sandy,rabi,no,cotton
75,78,12,69,15,loamy,kharif,yes,sugarcane
62,37,86,122,27,loamy,zaid,no,rice
12,15,50,117,20,loamy,rabi,no,cotton
37,56,86,159,36,sandy,rabi,yes,maize
100,62,23,79,16,sandy,rabi,no,wheat
73,98,44,183,25,clay,rabi,yes,wheat
51,48,37,194,27,sandy,zaid,no,maize
75,78,10,96,33,loamy,rabi,no,wheat
15,90,89,232,34,loamy,rabi,yes,rice
58,20,29,200,15,sandy,zaid,yes,maize
40,64,76,159,21,sandy,rabi,yes,rice
97,37,68,190,16,sandy,kharif,no,wheat
62,31,22,209,36,clay,kharif,no,maize
63,93,100,144,16,sandy,zaid,no,cotton
23,27,11,207,31,loamy,zaid,no,sugarcane
42,58,22,231,29,clay,zaid,yes,cotton
31,80,33,132,22,loamy,zaid,yes,maize
90,66,42,265,40,loamy,zaid,yes,maize
14,32,82,211,26,loamy,rabi,yes,wheat
41,75,54,244,38,sandy,kharif,yes,rice
15,39,76,54,24,clay,kharif,no,rice
68,96,46,260,39,clay,zaid,no,sugarcane
86,14,100,69,38,sandy,zaid,yes,sugarcane
